0.13727	0.14488	0.15784	0.10496	0.13384	0.07398	0.07888	0.02202	0.03364	0.0621	0.01871	0.03086
0.143	0.15049	0.16501	0.11089	0.1399	0.07714	0.0835	0.02314	0.03541	0.06474	0.01964	0.03314
0.14884	0.15618	0.17243	0.11685	0.14614	0.08052	0.08817	0.02425	0.03735	0.06762	0.02061	0.03567
0.15477	0.16197	0.18016	0.12296	0.15275	0.08398	0.09286	0.02544	0.03939	0.07087	0.02164	0.03816
0.16088	0.16784	0.18788	0.12937	0.15948	0.0875	0.09787	0.02663	0.04151	0.07449	0.02275	0.04074
0.16715	0.17373	0.1958	0.13584	0.16638	0.09123	0.10289	0.02786	0.04392	0.07818	0.02382	0.04398
0.1735	0.17971	0.20404	0.14232	0.17364	0.09506	0.10789	0.02915	0.04652	0.08195	0.02486	0.04704
0.18018	0.18575	0.21226	0.14919	0.18099	0.09899	0.11332	0.03049	0.04906	0.08562	0.02593	0.05093
0.18704	0.19185	0.22053	0.15613	0.18852	0.10316	0.11849	0.03186	0.05184	0.08938	0.02721	0.05438
0.19391	0.19833	0.2291	0.16325	0.19644	0.10735	0.12396	0.03344	0.05457	0.09313	0.0285	0.05867
0.20101	0.20503	0.23763	0.17084	0.20449	0.11156	0.12976	0.03521	0.05733	0.09744	0.02982	0.06247
0.20834	0.21174	0.24616	0.17832	0.21266	0.11601	0.13554	0.03694	0.06005	0.102	0.03129	0.06723
0.21588	0.21844	0.25497	0.1863	0.22096	0.12046	0.14142	0.0391	0.06276	0.10651	0.03279	0.07117
0.22373	0.22516	0.26379	0.19438	0.22923	0.12497	0.14767	0.04148	0.06547	0.11103	0.03436	0.07528
0.23155	0.2319	0.27254	0.20237	0.23754	0.12956	0.15383	0.04389	0.06832	0.11559	0.03596	0.07961
0.23947	0.2391	0.28123	0.21061	0.2461	0.13416	0.16021	0.04623	0.07116	0.12023	0.03746	0.08393
0.24739	0.24626	0.29032	0.21891	0.25474	0.13885	0.16692	0.0484	0.07397	0.1251	0.03904	0.08905
0.25545	0.25354	0.29939	0.227	0.26336	0.14373	0.17358	0.05081	0.07692	0.13018	0.04089	0.09338
0.2635	0.26116	0.30889	0.23541	0.27211	0.14863	0.18032	0.05348	0.08	0.13513	0.04275	0.0988
0.27185	0.26871	0.31822	0.24393	0.28082	0.15362	0.18739	0.05647	0.08319	0.13995	0.04461	0.10291
0.28016	0.27636	0.3276	0.25226	0.28954	0.15874	0.19442	0.05957	0.08657	0.14467	0.04668	0.10758
0.28856	0.28449	0.33743	0.26098	0.29844	0.16388	0.2015	0.06249	0.08997	0.14936	0.04879	0.11217
0.29723	0.29255	0.34723	0.26971	0.30734	0.16906	0.20883	0.06555	0.09352	0.15431	0.05096	0.11716
0.30576	0.30068	0.35706	0.27832	0.31626	0.17447	0.21601	0.06872	0.09716	0.15967	0.05332	0.12184
0.31408	0.30906	0.36683	0.28733	0.32542	0.1797	0.22321	0.07193	0.10092	0.16487	0.05564	0.12695
0.32278	0.31729	0.37656	0.29634	0.3345	0.18488	0.23064	0.0751	0.10477	0.16977	0.05818	0.13137
0.33143	0.32559	0.38627	0.30508	0.34378	0.19013	0.238	0.0782	0.10878	0.17505	0.06089	0.13683
0.34008	0.33404	0.3962	0.31432	0.35301	0.19545	0.24541	0.08184	0.11271	0.18031	0.06371	0.14177
0.34881	0.34236	0.40609	0.32362	0.36225	0.20081	0.25322	0.08562	0.11671	0.1851	0.06646	0.14737
0.35748	0.35063	0.416	0.33273	0.37167	0.20628	0.26097	0.08969	0.12087	0.18959	0.06939	0.15261
0.36623	0.3592	0.4261	0.34225	0.38105	0.21185	0.26875	0.09402	0.12516	0.19451	0.07236	0.15773
0.37499	0.36752	0.43615	0.35193	0.39044	0.21747	0.27678	0.09845	0.12951	0.19923	0.07525	0.1631
0.38382	0.37584	0.44618	0.36142	0.39997	0.22329	0.28457	0.10317	0.13399	0.20397	0.07825	0.16839
0.39271	0.38433	0.45626	0.37104	0.40944	0.22922	0.29283	0.10847	0.13861	0.20831	0.08111	0.17421
0.40174	0.39265	0.46621	0.38065	0.41885	0.23526	0.30104	0.11369	0.14326	0.21282	0.08436	0.17989
0.4108	0.401	0.47611	0.38994	0.42841	0.24126	0.30905	0.1191	0.14791	0.21692	0.08764	0.18654
0.41992	0.40991	0.48598	0.39985	0.43785	0.24732	0.31767	0.12461	0.15254	0.22128	0.09086	0.19204
0.42927	0.4188	0.49568	0.40945	0.44726	0.25336	0.32629	0.12991	0.15715	0.22574	0.09411	0.19895
0.4386	0.42789	0.50535	0.41918	0.45676	0.25944	0.33468	0.13517	0.16177	0.23077	0.09743	0.20503
0.44783	0.43701	0.51493	0.42916	0.46611	0.26559	0.34343	0.14043	0.16633	0.23613	0.10082	0.21102
0.45712	0.44604	0.52427	0.43878	0.47537	0.27177	0.35187	0.1458	0.17104	0.24136	0.10411	0.21679
0.46619	0.45488	0.53368	0.44849	0.48473	0.27799	0.36021	0.15157	0.17573	0.24651	0.10725	0.22264
0.47519	0.46426	0.54312	0.45853	0.49399	0.28422	0.36888	0.15741	0.18039	0.25149	0.11032	0.22925
